イベント名,イベントのフォルダ名,イベント開始日,撮影日,サブグループ,サブグループのフォルダ名,ファイル名[枚数],ファイル名,拡張子,最新更新,小池 美波,齋藤 冬優花,上村 莉菜,井上 梨名,遠藤 光莉,大園 玲,大沼 晶保,幸阪 茉里乃,武元 唯衣,田村 保乃,藤吉 夏鈴,増本 綺良,松田 里奈,森田 ひかる,守屋 麗奈,山﨑 天,石森 璃花,遠藤 理子,小田倉 麗奈,小島 凪紗,谷口 愛季,中嶋 優月,的野 美青,向井 純葉,村井 優,村山 美羽,山下 瞳月,浅井 恋乃未,稲熊 ひな,勝又 春,佐藤 愛桜,中川 智尋,松本 和子,目黒 陽色,山川 宇衣,山田 桃実,小林 由依,土生 瑞穂,関 有美子,菅井 友香,尾関 梨香,原田 葵,渡邉 理佐,守屋 茜,渡辺 梨加,松平 璃子
イベント名,イベントのフォルダ名,イベント開始日,撮影日,サブグループ,サブグループのフォルダ名,ファイル名[枚数],ファイル名,拡張子,最新更新,小池_美波,齋藤_冬優花,上村_莉菜,井上_梨名,遠藤_光莉,大園_玲,大沼_晶保,幸阪_茉里乃,武元_唯衣,田村_保乃,藤吉_夏鈴,増本_綺良,松田_里奈,森田_ひかる,守屋_麗奈,山﨑_天,石森_璃花,遠藤_理子,小田倉_麗奈,小島_凪紗,谷口_愛季,中嶋_優月,的野_美青,向井_純葉,村井_優,村山_美羽,山下_瞳月,浅井_恋乃未,稲熊_ひな,勝又_春,佐藤_愛桜,中川_智尋,松本_和子,目黒_陽色,山川_宇衣,山田_桃実,小林_由依,土生_瑞穂,関_有美子,菅井_友香,尾関_梨香,原田_葵,渡邉_理佐,守屋_茜,渡辺_梨加,松平_璃子
『4th YEAR ANNIVERSARY LIVE at ZOZO MARINE STADIUM』発売記念パネル展,『4th_YEAR_ANNIVERSARY_LIVE_at_ZOZO_MARINE_STADIUM』発売記念パネル展,2025/08/26,2025/08/29,SHIBUYA TSUTAYA,SHIBUYA_TSUTAYA,SHIBUYA TSUTAYA[33],SHIBUYA_TSUTAYA,jpg,2026/03/04 18:09:38,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,,,,,,,,,,
『4th YEAR ANNIVERSARY LIVE at ZOZO MARINE STADIUM』発売記念パネル展,『4th_YEAR_ANNIVERSARY_LIVE_at_ZOZO_MARINE_STADIUM』発売記念パネル展,2025/08/26,2025/08/29,タワーレコード渋谷店,タワーレコード渋谷店,タワーレコード渋谷店[20],タワーレコード渋谷店,jpg,2026/03/04 19:30:21,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,,,,,,,,,,
THE SAKURAZAKA46 TOWN in KANSAI,THE_SAKURAZAKA46_TOWN_in_KANSAI,2025/08/04,2025/08/30,櫻坂46トレイン,櫻坂46トレイン,櫻坂46トレイン[34],櫻坂46トレイン,jpg,2026/03/05 22:02:32,,,,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,
THE SAKURAZAKA46 TOWN in KANSAI,THE_SAKURAZAKA46_TOWN_in_KANSAI,2025/08/01,2025/08/23,デジタルスタンプラリー,デジタルスタンプラリー,デジタルスタンプラリー[94],デジタルスタンプラリー,jpg,2026/03/05 21:49:20,,,,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,,,,,,,,,,
THE SAKURAZAKA46 TOWN produced by JR東日本,THE_SAKURAZAKA46_TOWN_produced_by_JR東日本,2025/06/28,2025/06/28,デジタルスタンプラリー,デジタルスタンプラリー,デジタルスタンプラリー[45],デジタルスタンプラリー,jpg,2026/03/05 21:29:35,,,,,〇,,,〇,,,〇,,,〇,〇,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12thシングルヒットキャンペーン,12thシングルヒットキャンペーン,2025/06/23,2025/07/05,巨大アート,巨大アート,巨大アート[34],巨大アート,jpg,2026/03/05 20:57:44,,,,,,〇,,,,〇,,,,〇,,〇,,,,,〇,,〇,,〇,,〇,,,,,,,,,,,,,,,,,,,
12thシングルヒットキャンペーン,12thシングルヒットキャンペーン,2025/06/23,2025/07/05,来場者限定オリジナルムービー,来場者限定オリジナルムービー,来場者限定オリジナルムービー[1],来場者限定オリジナルムービー,mp4,2026/03/05 21:13:56,,,,,,〇,,,,〇,,,,〇,,〇,,,,,〇,,〇,,〇,,〇,,,,,,,,,,,,,,,,,,,
櫻坂46 四期生「First Showcase」,櫻坂46_四期生「First_Showcase」,2025/06/12,2025/06/12,櫻坂46 四期生「First Showcase」,櫻坂46_四期生「First_Showcase」,櫻坂46 四期生「First Showcase」[19],櫻坂46_四期生「First_Showcase」,jpg,2026/03/09 19:47:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,
4th YEAR ANNIVERSARY LIVE,4th_YEAR_ANNIVERSARY_LIVE,2025/06/12,2025/06/12,4th YEAR ANNIVERSARY LIVE,4th_YEAR_ANNIVERSARY_LIVE,4th YEAR ANNIVERSARY LIVE[95],4th_YEAR_ANNIVERSARY_LIVE,jpg,2026/03/09 20:48:08,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,,,,,,,,,,
5th TOUR 2025 “Addiction”,5th_TOUR_2025_“Addiction”,2025/04/26,2025/07/26,東京ドーム,東京ドーム,東京ドーム[54],東京ドーム,jpg,2026/03/05 19:43:20,,,,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,
5th TOUR 2025 “Addiction”,5th_TOUR_2025_“Addiction”,2025/04/26,2025/08/24,京セラドーム,京セラドーム,京セラドーム[40],京セラドーム,jpg,2026/03/05 19:55:44,,,,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,SHIBUYA TSUTAYA,SHIBUYA_TSUTAYA,SHIBUYA TSUTAYA[104],SHIBUYA_TSUTAYA,jpg,2026/03/11 22:17:48,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,SHIBUYA TSUTAYA,SHIBUYA_TSUTAYA,I want tomorrow to come パネル[63],I_want_tomorrow_to_come_パネル,jpg,2025/03/18 19:05:02,,,,,,〇,,,〇,〇,〇,,〇,〇,〇,〇,,,,,〇,〇,〇,〇,,〇,〇,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,SHIBUYA TSUTAYA,SHIBUYA_TSUTAYA,僕は僕を好きになれない パネル[74],僕は僕を好きになれない_パネル,jpg,2025/03/18 19:05:02,〇,〇,〇,〇,〇,,〇,〇,,,,〇,,,,,〇,〇,,〇,,,,,〇,,,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,SHIBUYA TSUTAYA,SHIBUYA_TSUTAYA,メンバーパネル[134],メンバーパネル,jpg,2025/03/18 19:05:02,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,SHIBUYA TSUTAYA,SHIBUYA_TSUTAYA,メンバーフラッグ[36],メンバーフラッグ,jpg,2025/03/18 19:05:02,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,タワーレコード渋谷店,タワーレコード渋谷店,タワーレコード渋谷店[10],タワーレコード渋谷店,jpg,2026/03/13 8:59:08,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,HMV&BOOKS SHIBUYA,HMV&BOOKS_SHIBUYA,HMV&BOOKS SHIBUYA[22],HMV&BOOKS_SHIBUYA,jpg,2026/03/13 9:09:56,〇,,,,,〇,,,,,,,〇,,,〇,,〇,,,,,〇,〇,〇,,〇,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,ヨドバシカメラ マルチメディアAkiba,ヨドバシカメラ_マルチメディアAkiba,ヨドバシカメラ マルチメディアAkiba[3],ヨドバシカメラ_マルチメディアAkiba,jpg,2026/03/13 9:15:40,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,ラムタラメディアワールドアキバ,ラムタラメディアワールドアキバ,ラムタラメディアワールドアキバ[5],ラムタラメディアワールドアキバ,jpg,2026/03/13 9:22:16,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,ラムタラ エピカリ アキバ,ラムタラ_エピカリ_アキバ,ラムタラ エピカリ アキバ[2],ラムタラ_エピカリ_アキバ,jpg,2026/03/13 9:24:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,買取市場ムーランAKIBA,買取市場ムーランAKIBA,買取市場ムーランAKIBA[1],買取市場ムーランAKIBA,jpg,2026/03/13 9:25:51,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,タワーレコード錦糸町パルコ店,タワーレコード錦糸町パルコ店,タワーレコード錦糸町パルコ店[7],タワーレコード錦糸町パルコ店,jpg,2026/03/13 9:29:39,,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,
10thシングル『I want tomorrow to come』パネル展示,10thシングル『I_want_tomorrow_to_come』パネル展示,2024/10/22,2024/10/26,HMVエソラ池袋,HMVエソラ池袋,HMVエソラ池袋[6],HMVエソラ池袋,jpg,2026/03/13 9:37:24,,,,,,,,,,,,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,
